# Discriminator Loss, Generator Loss
1.611400604248046875e+00,1.233711814880371094e+01
1.606279373168945312e+00,1.512994575500488281e+01
1.516161680221557617e+00,1.205115699768066406e+01
1.608936786651611328e+00,1.338079738616943359e+01
1.464972615242004395e+00,1.366774368286132812e+01
1.513034224510192871e+00,1.342406368255615234e+01
1.438614606857299805e+00,1.258923244476318359e+01
1.458706140518188477e+00,1.375137138366699219e+01
1.387521147727966309e+00,1.169726848602294922e+01
1.271805882453918457e+00,1.423882579803466797e+01
1.157335877418518066e+00,1.309321117401123047e+01
9.813094139099121094e-01,1.505199623107910156e+01
7.880918979644775391e-01,1.707303619384765625e+01
6.951488852500915527e-01,1.582704830169677734e+01
5.969446897506713867e-01,1.616461181640625000e+01
6.115892529487609863e-01,1.792700958251953125e+01
7.096250653266906738e-01,1.578578186035156250e+01
7.484123706817626953e-01,1.557967376708984375e+01
8.617597222328186035e-01,1.611624145507812500e+01
7.949224710464477539e-01,1.581229686737060547e+01
8.669668436050415039e-01,1.522674846649169922e+01
8.893127441406250000e-01,1.558953571319580078e+01
9.219363331794738770e-01,1.560767936706542969e+01
1.089221000671386719e+00,1.496965980529785156e+01
1.194139957427978516e+00,1.506659317016601562e+01
1.391392350196838379e+00,1.440140151977539062e+01
1.409055471420288086e+00,1.307364368438720703e+01
1.581087708473205566e+00,1.295971488952636719e+01
1.831968426704406738e+00,1.272252655029296875e+01
2.196132898330688477e+00,9.914736747741699219e+00
2.044105052947998047e+00,1.185909843444824219e+01
2.266253948211669922e+00,1.253145122528076172e+01
2.034320116043090820e+00,1.213348770141601562e+01
1.639828920364379883e+00,1.484529590606689453e+01
1.316434860229492188e+00,1.318580722808837891e+01
1.260646104812622070e+00,1.392299079895019531e+01
1.163540720939636230e+00,1.304798030853271484e+01
1.197404980659484863e+00,1.307284259796142578e+01
1.123944997787475586e+00,1.426466083526611328e+01
1.018517971038818359e+00,1.492907333374023438e+01
9.737161993980407715e-01,1.321169090270996094e+01
9.554580450057983398e-01,1.387125396728515625e+01
8.283176422119140625e-01,1.555610752105712891e+01
7.912634611129760742e-01,1.353051471710205078e+01
8.868937492370605469e-01,1.337351131439208984e+01
8.418227434158325195e-01,1.481012725830078125e+01
8.786253929138183594e-01,1.338523483276367188e+01
8.843160271644592285e-01,1.289807510375976562e+01
9.641119241714477539e-01,1.415846920013427734e+01
1.018518924713134766e+00,1.354722785949707031e+01
9.940718412399291992e-01,1.244122791290283203e+01
9.936802387237548828e-01,1.486787414550781250e+01
